,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,isAlone,isLargeFamily,AgeClass,Mother,FareGroup,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Child,AgeGroup_Middle Aged,AgeGroup_Senior,AgeGroup_Young Adult
17,1,2,1,28.0,0,0,13.0,1,1,0,56.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,1
18,0,3,0,31.0,1,0,18.0,2,0,0,93.0,0,-0.2859972841804228,0,1,0,0,1,0,0,0,0,1
19,1,3,0,28.0,0,0,7.225,1,1,0,84.0,0,-0.5029485386158568,0,0,0,0,1,0,0,0,0,1
20,0,2,1,35.0,0,0,26.0,1,1,0,70.0,0,-0.12491978668775715,0,1,0,1,0,0,0,0,0,0
21,1,2,1,34.0,0,0,13.0,1,1,0,68.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,0
22,1,3,0,15.0,0,0,8.0292,1,1,0,45.0,0,-0.4867562231804066,1,0,1,0,0,0,1,0,0,0
23,1,1,1,28.0,0,0,35.5,1,1,0,28.0,0,0.06635974158478332,0,1,0,1,0,0,0,0,0,1
24,0,3,0,8.0,3,1,21.075,5,0,1,24.0,0,-0.22408312108167944,0,1,1,0,0,0,1,0,0,0
25,1,3,0,38.0,1,5,31.3875,7,0,1,114.0,0,-0.016444159470040135,0,1,0,0,1,0,0,0,0,0
26,0,3,1,28.0,0,0,7.225,1,1,0,84.0,0,-0.5029485386158568,0,0,0,1,0,0,0,0,0,1
27,0,1,1,19.0,3,2,263.0,6,0,1,19.0,1,4.647001076532463,0,1,0,1,0,0,0,0,0,1
28,1,3,0,28.0,0,0,7.8792,1,1,0,84.0,0,-0.48977642625839407,1,0,1,0,0,0,0,0,0,1
29,0,3,1,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,1
30,0,1,1,40.0,0,0,27.7208,1,1,0,40.0,0,-0.09027201697708476,0,0,0,0,0,1,0,0,0,0
31,1,1,0,28.0,1,0,146.5208,2,0,0,28.0,0,2.301728820789,0,0,0,0,1,0,0,0,0,1
32,1,3,0,28.0,0,0,7.75,1,1,0,84.0,0,-0.49237782784290063,1,0,1,0,0,0,0,0,0,1
33,0,2,1,66.0,0,0,10.5,1,1,0,132.0,0,-0.43700743807979686,0,1,0,1,0,0,0,0,1,0
34,0,1,1,28.0,1,0,82.1708,2,0,0,28.0,0,1.0060617003323709,0,0,0,1,0,0,0,0,0,1
35,0,1,1,42.0,1,0,52.0,2,0,0,42.0,0,0.39858208016340624,0,1,0,1,0,0,0,0,0,0
36,1,3,1,28.0,0,0,7.2292,1,1,0,84.0,0,-0.5028639729296732,0,0,0,1,0,0,0,0,0,1
37,0,3,1,21.0,0,0,8.05,1,1,0,63.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
38,0,3,0,18.0,2,0,18.0,3,0,0,54.0,0,-0.2859972841804228,0,1,1,0,0,0,0,0,0,1
39,1,3,0,14.0,1,0,11.2417,2,0,0,42.0,0,-0.42207354059350805,0,0,1,0,0,0,1,0,0,0
40,0,3,0,40.0,1,0,9.475,2,0,0,120.0,0,-0.4576454924460446,0,1,0,0,1,0,0,0,0,0
41,0,2,0,27.0,1,0,21.0,2,0,0,54.0,0,-0.22559322262067316,0,1,0,0,1,0,0,0,0,1
42,0,3,1,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,0,0,1,0,0,0,0,0,1
43,1,2,0,3.0,1,2,41.5792,4,0,0,6.0,0,0.18876253192945994,0,0,1,0,0,0,1,0,0,0
44,1,3,0,19.0,0,0,7.8792,1,1,0,57.0,0,-0.48977642625839407,1,0,1,0,0,0,0,0,0,1
45,0,3,1,28.0,0,0,8.05,1,1,0,84.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
46,0,3,1,28.0,1,0,15.5,2,0,0,84.0,0,-0.3363340021468808,1,0,0,1,0,0,0,0,0,1
47,1,3,0,28.0,0,0,7.75,1,1,0,84.0,0,-0.49237782784290063,1,0,1,0,0,0,0,0,0,1
48,0,3,1,28.0,2,0,21.6792,3,0,0,84.0,0,-0.21191774308354583,0,0,0,1,0,0,0,0,0,1
49,0,3,0,18.0,1,0,17.8,2,0,0,54.0,0,-0.29002422161773944,0,1,0,0,1,0,0,0,0,1
50,0,3,1,7.0,4,1,39.6875,6,0,1,21.0,0,0.1506737441786005,0,1,0,0,0,0,1,0,0,0
51,0,3,1,21.0,0,0,7.8,1,1,0,63.0,0,-0.4913710934835715,0,1,0,1,0,0,0,0,0,1
52,1,1,0,49.0,1,0,76.7292,2,0,0,49.0,0,0.8964967865378598,0,0,0,0,1,0,0,1,0,0
53,1,2,0,29.0,1,0,26.0,2,0,0,58.0,0,-0.12491978668775715,0,1,0,0,1,0,0,0,0,1
54,0,1,1,65.0,0,1,61.9792,2,0,0,65.0,1,0.5995101505357573,0,0,0,1,0,0,0,0,1,0
55,1,1,1,28.0,0,0,35.5,1,1,0,28.0,0,0.06635974158478332,0,1,0,1,0,0,0,0,0,1
56,1,2,0,21.0,0,0,10.5,1,1,0,42.0,0,-0.43700743807979686,0,1,1,0,0,0,0,0,0,1
57,0,3,1,28.5,0,0,7.2292,1,1,0,85.5,0,-0.5028639729296732,0,0,0,1,0,0,0,0,0,1
58,1,2,0,5.0,1,2,27.75,4,0,0,10.0,0,-0.08968408411123653,0,1,1,0,0,0,1,0,0,0
59,0,3,1,11.0,5,2,46.9,8,0,1,33.0,0,0.2958951755118318,0,1,0,0,0,0,1,0,0,0
60,0,3,1,22.0,0,0,7.2292,1,1,0,66.0,0,-0.5028639729296732,0,0,0,1,0,0,0,0,0,1
61,1,1,0,38.0,0,0,80.0,1,1,0,38.0,0,0.962353321387736,0,1,1,0,0,0,0,0,0,0
62,0,1,1,45.0,1,0,83.475,2,0,0,45.0,0,1.0323213593611125,0,1,0,1,0,0,0,0,0,0
63,0,3,1,4.0,3,2,27.9,6,0,1,12.0,0,-0.08666388103324908,0,1,0,0,0,0,1,0,0,0
64,0,1,1,28.0,0,0,27.7208,1,1,0,28.0,0,-0.09027201697708476,0,0,0,1,0,0,0,0,0,1
65,1,3,1,28.0,1,1,15.2458,3,0,0,84.0,1,-0.3414522396297103,0,0,0,0,0,0,0,0,0,1
66,1,2,0,29.0,0,0,10.5,1,1,0,58.0,0,-0.43700743807979686,0,1,0,0,1,0,0,0,0,1
67,0,3,1,19.0,0,0,8.1583,1,1,0,57.0,0,-0.4841568350646187,0,1,0,1,0,0,0,0,0,1
68,1,3,0,17.0,4,2,7.925,7,0,1,51.0,0,-0.4888542575852486,0,1,1,0,0,0,0,0,0,1
69,0,3,1,26.0,2,0,8.6625,3,0,0,78.0,0,-0.47400492578514347,0,1,0,1,0,0,0,0,0,1
70,0,2,1,32.0,0,0,10.5,1,1,0,64.0,0,-0.43700743807979686,0,1,0,1,0,0,0,0,0,1
71,0,3,0,16.0,5,2,46.9,8,0,1,48.0,0,0.2958951755118318,0,1,1,0,0,0,1,0,0,0
72,0,2,1,21.0,0,0,73.5,1,1,0,42.0,0,0.8314778546749452,0,1,0,1,0,0,0,0,0,1
73,0,3,1,26.0,1,0,14.4542,2,0,0,78.0,0,-0.3573908580066095,0,0,0,1,0,0,0,0,0,1
74,1,3,1,32.0,0,0,56.4958,1,1,0,96.0,0,0.48910360681684706,0,1,0,1,0,0,0,0,0,1
75,0,3,1,25.0,0,0,7.65,1,1,0,75.0,0,-0.494391296561559,0,1,0,1,0,0,0,0,0,1
76,0,3,1,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,1
77,0,3,1,28.0,0,0,8.05,1,1,0,84.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
78,1,2,1,0.83,0,2,29.0,3,0,0,1.66,0,-0.06451572512800753,0,1,0,0,0,0,1,0,0,0
79,1,3,0,30.0,0,0,12.475,1,1,0,90.0,0,-0.397241430886295,0,1,1,0,0,0,0,0,0,1
80,0,3,1,22.0,0,0,9.0,1,1,0,66.0,0,-0.46720946885967163,0,1,0,1,0,0,0,0,0,1
81,1,3,1,29.0,0,0,9.5,1,1,0,87.0,0,-0.45714212526638004,0,1,0,1,0,0,0,0,0,1
82,1,3,0,28.0,0,0,7.7875,1,1,0,84.0,0,-0.49162277707340374,1,0,1,0,0,0,0,0,0,1
83,0,1,1,28.0,0,0,47.1,1,1,0,28.0,0,0.29992211294914856,0,1,0,1,0,0,0,0,0,1
84,1,2,0,17.0,0,0,10.5,1,1,0,34.0,0,-0.43700743807979686,0,1,1,0,0,0,0,0,0,1
85,1,3,0,33.0,3,0,15.85,4,0,0,99.0,0,-0.32928686163157667,0,1,0,0,1,0,0,0,0,0
86,0,3,1,16.0,1,3,34.375,5,0,1,48.0,0,0.04370821849987721,0,1,0,1,0,0,1,0,0,0
87,0,3,1,28.0,0,0,8.05,1,1,0,84.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
88,1,1,0,23.0,3,2,263.0,6,0,1,23.0,0,4.647001076532463,0,1,1,0,0,0,0,0,0,1
89,0,3,1,24.0,0,0,8.05,1,1,0,72.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
90,0,3,1,29.0,0,0,8.05,1,1,0,87.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
91,0,3,1,20.0,0,0,7.8542,1,1,0,60.0,0,-0.4902797934380587,0,1,0,1,0,0,0,0,0,1
92,0,1,1,46.0,1,0,61.175,2,0,0,46.0,0,0.5833178351003071,0,1,0,1,0,0,0,0,0,0
93,0,3,1,26.0,1,2,20.575,4,0,0,78.0,1,-0.23415046467497105,0,1,0,1,0,0,0,0,0,1
94,0,3,1,59.0,0,0,7.25,1,1,0,177.0,0,-0.5024451714361923,0,1,0,1,0,0,0,1,0,0
95,0,3,1,28.0,0,0,8.05,1,1,0,84.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
96,0,1,1,71.0,0,0,34.6542,1,1,0,71.0,0,0.0493298231623713,0,0,0,1,0,0,0,0,1,0
97,1,1,1,23.0,0,1,63.3583,2,0,0,23.0,1,0.6272778976347743,0,0,0,1,0,0,0,0,0,1
98,1,2,0,34.0,0,1,23.0,2,0,0,68.0,0,-0.18532384824750675,0,1,0,0,1,0,0,0,0,0
99,0,2,1,34.0,1,0,26.0,2,0,0,68.0,0,-0.12491978668775715,0,1,0,1,0,0,0,0,0,0
100,0,3,0,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,1,1,0,0,0,0,0,0,1
101,0,3,1,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,1
102,0,1,1,21.0,0,1,77.2875,2,0,0,21.0,1,0.907737982394129,0,1,0,1,0,0,0,0,0,1
103,0,3,1,33.0,0,0,8.6542,1,1,0,99.0,0,-0.4741720436887921,0,1,0,1,0,0,0,0,0,0
104,0,3,1,37.0,2,0,7.925,3,0,0,111.0,0,-0.4888542575852486,0,1,0,1,0,0,0,0,0,0
105,0,3,1,28.0,0,0,7.8958,1,1,0,84.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,1
106,1,3,0,21.0,0,0,7.65,1,1,0,63.0,0,-0.494391296561559,0,1,1,0,0,0,0,0,0,1
107,1,3,1,28.0,0,0,7.775,1,1,0,84.0,0,-0.4918744606632361,0,1,0,1,0,0,0,0,0,1
108,0,3,1,38.0,0,0,7.8958,1,1,0,114.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,0
109,1,3,0,28.0,1,0,24.15,2,0,0,84.0,0,-0.1621689579829361,1,0,1,0,0,0,0,0,0,1
110,0,1,1,47.0,0,0,52.0,1,1,0,47.0,0,0.39858208016340624,0,1,0,1,0,0,0,0,0,0
111,0,3,0,14.5,1,0,14.4542,2,0,0,43.5,0,-0.3573908580066095,0,0,1,0,0,0,1,0,0,0
112,0,3,1,22.0,0,0,8.05,1,1,0,66.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
113,0,3,0,20.0,1,0,9.825,2,0,0,60.0,0,-0.4505983519307405,0,1,1,0,0,0,0,0,0,1
114,0,3,0,17.0,0,0,14.4583,1,1,0,51.0,0,-0.3573083057891445,0,0,1,0,0,0,0,0,0,1
115,0,3,1,21.0,0,0,7.925,1,1,0,63.0,0,-0.4888542575852486,0,1,0,1,0,0,0,0,0,1
116,0,3,1,70.5,0,0,7.75,1,1,0,211.5,0,-0.49237782784290063,1,0,0,1,0,0,0,0,1,0
117,0,2,1,29.0,1,0,21.0,2,0,0,58.0,0,-0.22559322262067316,0,1,0,1,0,0,0,0,0,1
118,0,1,1,24.0,0,1,247.5208,2,0,0,24.0,1,4.335332226633905,0,0,0,1,0,0,0,0,0,1
119,0,3,0,2.0,4,2,31.275,7,0,1,6.0,0,-0.01870931177853076,0,1,1,0,0,0,1,0,0,0
120,0,2,1,21.0,2,0,73.5,3,0,0,42.0,0,0.8314778546749452,0,1,0,1,0,0,0,0,0,1
121,0,3,1,28.0,0,0,8.05,1,1,0,84.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
122,0,2,1,32.5,1,0,30.0708,2,0,0,65.0,0,-0.04295550208861426,0,0,0,1,0,0,0,0,0,0
123,1,2,0,32.5,0,0,13.0,1,1,0,65.0,0,-0.3866707201133388,0,1,1,0,0,0,0,0,0,0
124,0,1,1,54.0,0,1,77.2875,2,0,0,54.0,1,0.907737982394129,0,1,0,1,0,0,0,1,0,0
125,1,3,1,12.0,1,0,11.2417,2,0,0,36.0,0,-0.42207354059350805,0,0,0,0,0,0,1,0,0,0
126,0,3,1,28.0,0,0,7.75,1,1,0,84.0,0,-0.49237782784290063,1,0,0,1,0,0,0,0,0,1
127,1,3,1,24.0,0,0,7.1417,1,1,0,72.0,0,-0.5046257580584992,0,1,0,1,0,0,0,0,0,1
128,1,3,0,28.0,1,1,22.3583,3,0,0,84.0,0,-0.19824427701513722,0,0,1,0,0,0,0,0,0,1
129,0,3,1,45.0,0,0,6.975,1,1,0,135.0,0,-0.5079822104125026,0,1,0,1,0,0,0,0,0,0
130,0,3,1,33.0,0,0,7.8958,1,1,0,99.0,0,-0.4894421904510968,0,0,0,1,0,0,0,0,0,0
131,0,3,1,20.0,0,0,7.05,1,1,0,60.0,0,-0.5064721088735089,0,1,0,1,0,0,0,0,0,1
132,0,3,0,47.0,1,0,14.5,2,0,0,141.0,0,-0.35646868933346404,0,1,0,0,1,0,0,0,0,0
133,1,2,0,29.0,1,0,26.0,2,0,0,58.0,0,-0.12491978668775715,0,1,0,0,1,0,0,0,0,1
134,0,2,1,25.0,0,0,13.0,1,1,0,50.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,1
135,0,2,1,23.0,0,0,15.0458,1,1,0,46.0,0,-0.3454791770670269,0,0,0,1,0,0,0,0,0,1
136,1,1,0,19.0,0,2,26.2833,3,0,0,19.0,0,-0.11921562980779811,0,1,1,0,0,0,0,0,0,1
137,0,1,1,37.0,1,0,53.1,2,0,0,37.0,0,0.4207302360686478,0,1,0,1,0,0,0,0,0,0
138,0,3,1,16.0,0,0,9.2167,1,1,0,48.0,0,-0.4628462821463391,0,1,0,1,0,0,1,0,0,0
139,0,1,1,24.0,0,0,79.2,1,1,0,24.0,0,0.9462455716384695,0,0,0,1,0,0,0,0,0,1
140,0,3,0,28.0,0,2,15.2458,3,0,0,84.0,0,-0.3414522396297103,0,0,0,0,1,0,0,0,0,1
141,1,3,0,22.0,0,0,7.75,1,1,0,66.0,0,-0.49237782784290063,0,1,1,0,0,0,0,0,0,1
142,1,3,0,24.0,1,0,15.85,2,0,0,72.0,0,-0.32928686163157667,0,1,0,0,1,0,0,0,0,1
143,0,3,1,19.0,0,0,6.75,1,1,0,57.0,0,-0.5125125150294839,1,0,0,1,0,0,0,0,0,1
144,0,2,1,18.0,0,0,11.5,1,1,0,36.0,0,-0.41687275089321363,0,1,0,1,0,0,0,0,0,1
145,0,2,1,19.0,1,1,36.75,3,0,0,38.0,1,0.09152810056801232,0,1,0,1,0,0,0,0,0,1
146,1,3,1,27.0,0,0,7.7958,1,1,0,81.0,0,-0.49145565916975514,0,1,0,1,0,0,0,0,0,1
147,0,3,0,9.0,2,2,34.375,5,0,1,27.0,0,0.04370821849987721,0,1,1,0,0,0,1,0,0,0
148,0,2,1,36.5,0,2,26.0,3,0,0,73.0,1,-0.12491978668775715,0,1,0,1,0,0,0,0,0,0
149,0,2,1,42.0,0,0,13.0,1,1,0,84.0,0,-0.3866707201133388,0,1,0,0,0,1,0,0,0,0
150,0,2,1,51.0,0,0,12.525,1,1,0,102.0,0,-0.39623469652696586,0,1,0,0,0,1,0,1,0,0
151,1,1,0,22.0,1,0,66.6,2,0,0,22.0,0,0.6925485130875209,0,1,0,0,1,0,0,0,0,1
152,0,3,1,55.5,0,0,8.05,1,1,0,166.5,0,-0.4863374216869257,0,1,0,1,0,0,0,1,0,0
153,0,3,1,40.5,0,2,14.5,3,0,0,121.5,1,-0.35646868933346404,0,1,0,1,0,0,0,0,0,0
154,0,3,1,28.0,0,0,7.3125,1,1,0,84.0,0,-0.5011867534870308,0,1,0,1,0,0,0,0,0,1
155,0,1,1,51.0,0,1,61.3792,2,0,0,51.0,1,0.5874293382238074,0,0,0,1,0,0,0,1,0,0
156,1,3,0,16.0,0,0,7.7333,1,1,0,48.0,0,-0.49271407711891657,1,0,1,0,0,0,1,0,0,0
157,0,3,1,30.0,0,0,8.05,1,1,0,90.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
158,0,3,1,28.0,0,0,8.6625,1,1,0,84.0,0,-0.47400492578514347,0,1,0,1,0,0,0,0,0,1
159,0,3,1,28.0,8,2,69.55,11,0,1,84.0,1,0.7519458402879414,0,1,0,0,0,0,0,0,0,1
160,0,3,1,44.0,0,1,16.1,2,0,0,132.0,1,-0.32425318983493084,0,1,0,1,0,0,0,0,0,0
161,1,2,0,40.0,0,0,15.75,1,1,0,80.0,0,-0.331300330350235,0,1,0,0,1,0,0,0,0,0
162,0,3,1,26.0,0,0,7.775,1,1,0,78.0,0,-0.4918744606632361,0,1,0,1,0,0,0,0,0,1
163,0,3,1,17.0,0,0,8.6625,1,1,0,51.0,0,-0.47400492578514347,0,1,0,1,0,0,0,0,0,1
164,0,3,1,1.0,4,1,39.6875,6,0,1,3.0,0,0.1506737441786005,0,1,0,0,0,0,1,0,0,0
165,1,3,1,9.0,0,2,20.525,3,0,0,27.0,0,-0.2351571990343002,0,1,0,0,0,0,1,0,0,0
166,1,1,0,28.0,0,1,55.0,2,0,0,28.0,0,0.4589861417231558,0,1,0,0,1,0,0,0,0,1
167,0,3,0,45.0,1,4,27.9,6,0,1,135.0,0,-0.08666388103324908,0,1,0,0,1,0,0,0,0,0
168,0,1,1,28.0,0,0,25.925,1,1,0,28.0,0,-0.12642988822675086,0,1,0,1,0,0,0,0,0,1
169,0,3,1,28.0,0,0,56.4958,1,1,0,84.0,0,0.48910360681684706,0,1,0,1,0,0,0,0,0,1
170,0,1,1,61.0,0,0,33.5,1,1,0,61.0,0,0.026090367211616904,0,1,0,1,0,0,0,1,0,0
171,0,3,1,4.0,4,1,29.125,6,0,1,12.0,0,-0.06199888922968463,1,0,0,0,0,0,1,0,0,0
172,1,3,0,1.0,1,1,11.1333,3,0,0,3.0,0,-0.4242561406845337,0,1,1,0,0,0,1,0,0,0
173,0,3,1,21.0,0,0,7.925,1,1,0,63.0,0,-0.4888542575852486,0,1,0,1,0,0,0,0,0,1
174,0,1,1,56.0,0,0,30.6958,1,1,0,56.0,0,-0.030371322596999754,0,0,0,1,0,0,0,1,0,0
175,0,3,1,18.0,1,1,7.8542,3,0,0,54.0,0,-0.4902797934380587,0,1,0,1,0,0,0,0,0,1
176,0,3,1,28.0,3,1,25.4667,5,0,1,84.0,1,-0.13565761536436197,0,1,0,0,0,0,0,0,0,1
177,0,1,0,50.0,0,0,28.7125,1,1,0,50.0,0,-0.07030444769415023,0,0,1,0,0,0,0,1,0,0
178,0,2,1,30.0,0,0,13.0,1,1,0,60.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,1
179,0,3,1,36.0,0,0,0.0,1,1,0,108.0,0,-0.6484216535389205,0,1,0,1,0,0,0,0,0,0
180,0,3,0,28.0,8,2,69.55,11,0,1,84.0,0,0.7519458402879414,0,1,1,0,0,0,0,0,0,1
181,0,2,1,28.0,0,0,15.05,1,1,0,56.0,0,-0.34539461138084326,0,0,0,1,0,0,0,0,0,1
182,0,3,1,9.0,4,2,31.3875,7,0,1,27.0,0,-0.016444159470040135,0,1,0,0,0,0,1,0,0,0
183,1,2,1,1.0,2,1,39.0,4,0,0,2.0,0,0.13683114673782454,0,1,0,0,0,0,1,0,0,0
184,1,3,0,4.0,0,2,22.025,3,0,0,12.0,0,-0.20495516825442542,0,1,1,0,0,0,1,0,0,0
185,0,1,1,28.0,0,0,50.0,1,1,0,28.0,0,0.3583127057902398,0,1,0,1,0,0,0,0,0,1
186,1,3,0,28.0,1,0,15.5,2,0,0,84.0,0,-0.3363340021468808,1,0,0,0,1,0,0,0,0,1
187,1,1,1,45.0,0,0,26.55,1,1,0,45.0,0,-0.11384570873513637,0,1,0,1,0,0,0,0,0,0
188,0,3,1,40.0,1,1,15.5,3,0,0,120.0,1,-0.3363340021468808,1,0,0,1,0,0,0,0,0,0
189,0,3,1,36.0,0,0,7.8958,1,1,0,108.0,0,-0.4894421904510968,0,1,0,1,0,0,0,0,0,0
190,1,2,0,32.0,0,0,13.0,1,1,0,64.0,0,-0.3866707201133388,0,1,0,0,1,0,0,0,0,1
191,0,2,1,19.0,0,0,13.0,1,1,0,38.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,1
192,1,3,0,19.0,1,0,7.8542,2,0,0,57.0,0,-0.4902797934380587,0,1,1,0,0,0,0,0,0,1
193,1,2,1,3.0,1,1,26.0,3,0,0,6.0,0,-0.12491978668775715,0,1,0,0,0,0,1,0,0,0
194,1,1,0,44.0,0,0,27.7208,1,1,0,44.0,0,-0.09027201697708476,0,0,0,0,1,0,0,0,0,0
195,1,1,0,58.0,0,0,146.5208,1,1,0,58.0,0,2.301728820789,0,0,1,0,0,0,0,1,0,0
196,0,3,1,28.0,0,0,7.75,1,1,0,84.0,0,-0.49237782784290063,1,0,0,1,0,0,0,0,0,1
197,0,3,1,42.0,0,1,8.4042,2,0,0,126.0,1,-0.47920571548543794,0,1,0,1,0,0,0,0,0,0
198,1,3,0,28.0,0,0,7.75,1,1,0,84.0,0,-0.49237782784290063,1,0,1,0,0,0,0,0,0,1
199,0,2,0,24.0,0,0,13.0,1,1,0,48.0,0,-0.3866707201133388,0,1,1,0,0,0,0,0,0,1
200,0,3,1,28.0,0,0,9.5,1,1,0,84.0,0,-0.45714212526638004,0,1,0,1,0,0,0,0,0,1
201,0,3,1,28.0,8,2,69.55,11,0,1,84.0,1,0.7519458402879414,0,1,0,1,0,0,0,0,0,1
202,0,3,1,34.0,0,0,6.4958,1,1,0,102.0,0,-0.5176307525123133,0,1,0,1,0,0,0,0,0,0
203,0,3,1,45.5,0,0,7.225,1,1,0,136.5,0,-0.5029485386158568,0,0,0,1,0,0,0,0,0,0
204,1,3,1,18.0,0,0,8.05,1,1,0,54.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
205,0,3,0,2.0,0,1,10.4625,2,0,0,6.0,0,-0.43776248884929375,0,1,1,0,0,0,1,0,0,0
206,0,3,1,32.0,1,0,15.85,2,0,0,96.0,0,-0.32928686163157667,0,1,0,1,0,0,0,0,0,1
207,1,3,1,26.0,0,0,18.7875,1,1,0,78.0,0,-0.2701412180209885,0,0,0,1,0,0,0,0,0,1
208,1,3,0,16.0,0,0,7.75,1,1,0,48.0,0,-0.49237782784290063,1,0,1,0,0,0,1,0,0,0
209,1,1,1,40.0,0,0,31.0,1,1,0,40.0,0,-0.024246350754841113,0,0,0,1,0,0,0,0,0,0
210,0,3,1,24.0,0,0,7.05,1,1,0,72.0,0,-0.5064721088735089,0,1,0,1,0,0,0,0,0,1
211,1,2,0,35.0,0,0,21.0,1,1,0,70.0,0,-0.22559322262067316,0,1,1,0,0,0,0,0,0,0
212,0,3,1,22.0,0,0,7.25,1,1,0,66.0,0,-0.5024451714361923,0,1,0,1,0,0,0,0,0,1
213,0,2,1,30.0,0,0,13.0,1,1,0,60.0,0,-0.3866707201133388,0,1,0,1,0,0,0,0,0,1
214,0,3,1,28.0,1,0,7.75,2,0,0,84.0,0,-0.49237782784290063,1,0,0,1,0,0,0,0,0,1
215,1,1,0,31.0,1,0,113.275,2,0,0,31.0,0,1.6323350375212924,0,0,1,0,0,0,0,0,0,1
216,1,3,0,27.0,0,0,7.925,1,1,0,81.0,0,-0.4888542575852486,0,1,1,0,0,0,0,0,0,1
217,0,2,1,42.0,1,0,27.0,2,0,0,84.0,0,-0.10478509950117394,0,1,0,1,0,0,0,0,0,0
218,1,1,0,32.0,0,0,76.2917,1,1,0,32.0,0,0.8876878608937296,0,0,1,0,0,0,0,0,0,1
219,0,2,1,30.0,0,0,10.5,1,1,0,60.0,0,-0.43700743807979686,0,1,0,1,0,0,0,0,0,1
